workLat,workLong,workTweets,homeLat,homeLong,homeTweets,#tweets,userID,homeCountry,workCountry,homeCanton,workCanton,distance,closer to home,closer to work,routeTime
45.83,8.89,49.0,45.83,8.89,51.0,102,2367787546,Italia,Italia,-,-,0.0,"('Varese', 5.114278289313562)","('Varese', 5.114278289313562)",0.0
47.79,7.26,72.0,47.79,7.26,30.0,102,2384184810,France,France,-,-,0.0,"('Mulhouse', 7.051931077793759)","('Mulhouse', 7.051931077793759)",0.0
45.8,9.09,49.0,45.8,9.09,53.0,102,333418248,Italia,Italia,-,-,0.0,"('Varese', 20.511984267492977)","('Varese', 20.511984267492977)",0.0
47.25,6.02,35.0,47.25,6.02,53.0,102,747115560,France,France,-,-,0.0,"('Pontarlier', 46.11814963527651)","('Pontarlier', 46.11814963527651)",0.0
46.62,6.75,21.0,46.62,6.75,80.0,102,2341098558,Suisse,Suisse,Vaud,Vaud,0.0,"('Lausanne', 11.546046791361379)","('Lausanne', 11.546046791361379)",0.0
46.15,6.24,10.0,46.17,6.28,24.0,102,464640008,France,France,-,-,3.797188365566501,"('Annemasse', 4.236034048583684)","('Annemasse', 4.937128595420804)",16.783333333333335
47.43,8.67,52.0,47.43,8.67,22.0,102,632183,Suisse,Suisse,Zürich,Zürich,0.0,"('Zurich', 11.4456822698284)","('Zurich', 11.4456822698284)",0.0
46.22,6.13,53.0,46.22,6.13,48.0,102,489791180,Suisse,Suisse,Genève,Genève,0.0,"('Geneva', 3.592297221578392)","('Geneva', 3.592297221578392)",0.0
45.85,6.1,26.0,45.83,6.05,25.0,102,264810763,France,France,-,-,4.4635145117707795,"('Annecy', 9.335361867397689)","('Annecy', 5.704504113384962)",16.516666666666666
46.52,6.68,55.0,46.52,6.68,38.0,102,1459528555,Suisse,Suisse,Vaud,Vaud,0.0,"('Lausanne', 1.7939874714792958)","('Lausanne', 1.7939874714792958)",0.0
47.38,8.54,22.0,47.38,8.54,78.0,102,2845576089,Suisse,Suisse,Zürich,Zürich,0.0,"('Zurich', 1.6615021190898316)","('Zurich', 1.6615021190898316)",0.0
47.09,9.22,11.0,47.09,9.22,66.0,102,2919733500,Suisse,Suisse,Sankt Gallen,Sankt Gallen,0.0,"('Zurich', 59.173709077827304)","('Zurich', 59.173709077827304)",0.0
47.19,8.52,65.0,47.19,8.52,37.0,102,2200616135,Suisse,Suisse,Zug,Zug,0.0,"('Zurich', 19.762325067602273)","('Zurich', 19.762325067602273)",0.0
45.75,7.06,75.0,45.75,7.06,23.0,102,2149409163,Italia,Italia,-,-,0.0,"('Sion', 58.18676434748159)","('Sion', 58.18676434748159)",0.0
46.21,6.14,23.0,46.21,6.14,79.0,102,2210608370,Suisse,Suisse,Genève,Genève,0.0,"('Geneva', 2.334834812994416)","('Geneva', 2.334834812994416)",0.0
46.81,8.22,23.0,46.95,7.39,13.0,102,1105782984,Suisse,Suisse,Bern - Berne,Obwalden,64.93532051603023,"('Bern', 6.896901927923054)","('Luzern', 30.57643122586675)",76.71666666666667
47.38,8.55,52.0,47.38,8.55,42.0,102,92669036,Suisse,Suisse,Zürich,Zürich,0.0,"('Zurich', 1.4812977626153683)","('Zurich', 1.4812977626153683)",0.0
47.06,8.29,34.0,47.04,8.32,34.0,102,1630594945,Suisse,Suisse,Luzern,Luzern,3.177918151462033,"('Luzern', 6.279503401719631)","('Luzern', 3.1327088966183045)",10.666666666666666
45.82,8.96,32.0,45.82,8.96,69.0,102,563896526,Italia,Italia,-,-,0.0,"('Varese', 10.35027537513997)","('Varese', 10.35027537513997)",0.0
